holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,date_time,hour_flag,traffic_volume
,288.28,0,0,40,Clouds,10/2/2012 9:00,1,5545
,289.36,0,0,75,Clouds,10/2/2012 10:00,1,4516
,289.58,0,0,90,Clouds,10/2/2012 11:00,1,4767
,290.13,0,0,90,Clouds,10/2/2012 12:00,1,5026
,291.14,0,0,75,Clouds,10/2/2012 13:00,1,4918
,291.72,0,0,1,Clear,10/2/2012 14:00,1,5181
,293.17,0,0,1,Clear,10/2/2012 15:00,1,5584
,293.86,0,0,1,Clear,10/2/2012 16:00,1,6015
,294.14,0,0,20,Clouds,10/2/2012 17:00,1,5791
,293.1,0,0,20,Clouds,10/2/2012 18:00,1,4770
,290.97,0,0,20,Clouds,10/2/2012 19:00,1,3539
,289.38,0,0,1,Clear,10/2/2012 20:00,1,2784
,288.61,0,0,1,Clear,10/2/2012 21:00,1,2361
,287.16,0,0,1,Clear,10/2/2012 22:00,1,1529
,285.45,0,0,1,Clear,10/2/2012 23:00,1,963
,284.63,0,0,1,Clear,10/3/2012 0:00,1,506
,283.47,0,0,1,Clear,10/3/2012 1:00,1,321
,281.18,0,0,1,Clear,10/3/2012 2:00,1,273
,281.09,0,0,1,Clear,10/3/2012 3:00,1,367
,279.53,0,0,1,Clear,10/3/2012 4:00,1,814
,278.62,0,0,1,Clear,10/3/2012 5:00,1,2718
,278.23,0,0,1,Clear,10/3/2012 6:00,1,5673
,278.12,0,0,1,Clear,10/3/2012 8:00,1,6511
,282.48,0,0,1,Clear,10/3/2012 9:00,1,5471
,291.97,0,0,1,Clear,10/3/2012 12:00,1,5097
,293.23,0,0,1,Clear,10/3/2012 13:00,1,4887
,294.31,0,0,1,Clear,10/3/2012 14:00,1,5337
,295.17,0,0,1,Clear,10/3/2012 15:00,1,5692
,295.13,0,0,1,Clear,10/3/2012 16:00,1,6137
,293.66,0,0,20,Clouds,10/3/2012 18:00,1,4623
,290.65,0,0,20,Clouds,10/3/2012 19:00,1,3591
,288.19,0,0,20,Clouds,10/3/2012 20:00,1,2898
,287.1,0,0,1,Clear,10/3/2012 21:00,1,2637
,286.25,0,0,1,Clear,10/3/2012 22:00,1,1777
,285.26,0,0,1,Clear,10/3/2012 23:00,1,1015
,284.55,0,0,1,Clear,10/4/2012 0:00,1,598
,283.47,0,0,1,Clear,10/4/2012 1:00,1,369
,283.17,0,0,1,Clear,10/4/2012 2:00,1,312
,282.04,0,0,1,Clear,10/4/2012 3:00,1,367
,281.69,0,0,1,Clear,10/4/2012 4:00,1,835
,281.32,0,0,1,Clear,10/4/2012 5:00,1,2726
,280.74,0,0,1,Clear,10/4/2012 6:00,1,5689
,280.57,0,0,1,Clear,10/4/2012 7:00,1,6990
,281.86,0,0,1,Clear,10/4/2012 8:00,1,5985
,284.98,0,0,1,Clear,10/4/2012 9:00,1,5309
,289.18,0,0,1,Clear,10/4/2012 10:00,1,4603
,291.55,0,0,1,Clear,10/4/2012 11:00,1,4884
,294.97,0,0,1,Clear,10/4/2012 12:00,1,5104
,296.38,0,0,1,Clear,10/4/2012 13:00,1,5178
,297.32,0,0,1,Clear,10/4/2012 14:00,1,5501
,298.17,0,0,1,Clear,10/4/2012 15:00,1,5713
,298.06,0,0,20,Clouds,10/4/2012 16:00,1,6292
,297.67,0,0,20,Clouds,10/4/2012 17:00,1,6057
,296.36,0,0,40,Clouds,10/4/2012 18:00,1,4907
,293.85,0,0,40,Clouds,10/4/2012 19:00,1,3503
,292.43,0,0,40,Clouds,10/4/2012 20:00,1,3037
,291.77,0,0,75,Clouds,10/4/2012 21:00,1,2822
,291.36,0,0,75,Clouds,10/4/2012 22:00,1,1992
,291.12,0,0,75,Clouds,10/4/2012 23:00,1,1166
,290.63,0,0,75,Clouds,10/5/2012 0:00,1,627
,290.46,0,0,40,Clouds,10/5/2012 1:00,1,388
,289.26,0,0,0,Clear,10/5/2012 3:00,1,368
,283.21,0,0,75,Clouds,10/5/2012 5:00,1,2489
,282.24,0,0,90,Clouds,10/5/2012 6:00,1,5537
,281.69,0,0,90,Clouds,10/5/2012 7:00,1,6628
,280.57,0,0,90,Clouds,10/5/2012 8:00,1,5534
